rok,inflacja,wskaźnik realnego wzrostu przeciętnego wynagrodzenia*),przeciętne miesięczne wynagrodzenie w gospodarce narodowej**),stopa składki na ubezpieczenie emerytalne finansowanej przez pracownika,stopa składki na ubezpieczenie emerytalne finansowanej przez pracodawcę,stopa składki na ubezpieczenie emerytalne odprowadzana do OFE,stopa składki na ubezpieczenie emerytalne odprowadzana na subkonto ,łączna stopa składki odprowadzanej do OFE i składki ewidencjonowanej na subkoncie,wskaźnik waloryzacji składek zewidencjonowanych na koncie oraz kapitału początkowego za dany rok***),wskaźnik waloryzacji składek zewidencjonowanych na subkoncie za dany rok****),"ograniczenie górne miesięcznej podstawy wymiaru składek na ubezpieczenie emerytalne w danym roku, wyrażone w procencie przeciętnego miesięcznego wynagrodzenia w gospodarce narodowej",kwota najniższej emerytury obowiązująca od marca danego roku do lutego następnego roku*****),średnia długość życia
2014,"1,00000","1,03655","3 783,46","9,76%","9,76%","2,92%","4,38%","7,30%","102,06%","104,89%","250,00%","844,45","261,4"
2015,"0,99100","1,04011","3 899,78","9,76%","9,76%","2,92%","4,38%","7,30%","105,37%","104,37%","250,00%","880,45","259,5"
2016,"0,99400","1,04407","4 047,21","9,76%","9,76%","2,92%","4,38%","7,30%","106,37%","103,39%","250,00%","882,56","263,2"
2017,"1,02000","1,03473","4 271,51","9,76%","9,76%","2,92%","4,38%","7,30%","108,68%","103,99%","250,00%","1 000,00","262,2"
2018,"1,01600","1,05649","4 585,03","9,76%","9,76%","2,92%","4,38%","7,30%","109,20%","105,01%","250,00%","1 029,80","260,8"
2019,"1,02300","1,04854","4 918,17","9,76%","9,76%","2,92%","4,38%","7,30%","108,94%","105,73%","250,00%","1 100,00","261,5"
2020,"1,03400","1,01614","5 167,47","9,76%","9,76%","2,92%","4,38%","7,30%","105,41%","105,23%","250,00%","1 200,00","247,7"
2021,"1,05100","1,04263","5 662,53","9,76%","9,76%","2,92%","4,38%","7,30%","109,33%","107,07%","250,00%","1 250,88","238,9"
2022,"1,14400","0,97966","6 346,15","9,76%","9,76%","2,92%","4,38%","7,30%","114,40%","109,20%","250,00%","1 338,44","254,3"
2023,"1,11400","1,01215","7 155,48","9,76%","9,76%","2,92%","4,38%","7,30%","114,87%","109,91%","250,00%","1 588,44","264,2"
2024,"1,03600","1,09500","8 181,72","9,76%","9,76%","2,92%","4,38%","7,30%","114,41%","109,83%","250,00%","1 780,96","262,8"
2025,"1,05030","1,02020","8 766,84","9,76%","9,76%","2,92%","4,38%","7,30%","107,39%","111,13%","250,00%","1 878,91","264,7"
2026,"1,03050","1,03080","9 312,48","9,76%","9,76%","2,92%","4,38%","7,30%","106,61%","110,04%","250,00%","1 986,65","266,6"
2027,"1,02620","1,03080","9 850,81","9,76%","9,76%","2,92%","4,38%","7,30%","105,73%","107,62%","250,00%","2 065,44","268,5"
2028,"1,02520","1,02770","10 378,79","9,76%","9,76%","2,92%","4,38%","7,30%","105,19%","106,76%","250,00%","2 138,47","270,4"
2029,"1,02500","1,02710","10 926,56","9,76%","9,76%","2,92%","4,38%","7,30%","104,93%","106,46%","250,00%","2 210,62","272,2"
2030,"1,02500","1,02660","11 497,64","9,76%","9,76%","2,92%","4,38%","7,30%","104,72%","105,67%","250,00%","2 284,50","274,1"
2031,"1,02500","1,02600","12 091,49","9,76%","9,76%","2,92%","4,38%","7,30%","104,50%","105,31%","250,00%","2 360,62","275,9"
2032,"1,02500","1,02540","12 708,58","9,76%","9,76%","2,92%","4,38%","7,30%","104,32%","105,08%","250,00%","2 438,99","277,8"
2033,"1,02500","1,02490","13 350,65","9,76%","9,76%","2,92%","4,38%","7,30%","104,14%","104,92%","250,00%","2 519,67","279,6"
2034,"1,02500","1,02430","14 016,95","9,76%","9,76%","2,92%","4,38%","7,30%","104,12%","104,78%","250,00%","2 602,77","281,5"
2035,"1,02500","1,02370","14 707,88","9,76%","9,76%","2,92%","4,38%","7,30%","104,10%","104,65%","250,00%","2 688,30","283,3"
2036,"1,02500","1,02320","15 425,33","9,76%","9,76%","2,92%","4,38%","7,30%","104,12%","104,54%","250,00%","2 776,31","285,1"
2037,"1,02500","1,02260","16 168,29","9,76%","9,76%","2,92%","4,38%","7,30%","104,11%","104,45%","250,00%","2 866,93","286,9"
2038,"1,02500","1,02200","16 937,09","9,76%","9,76%","2,92%","4,38%","7,30%","104,04%","104,33%","250,00%","2 960,16","288,7"
2039,"1,02500","1,02150","17 733,77","9,76%","9,76%","2,92%","4,38%","7,30%","103,98%","104,18%","250,00%","3 056,07","290,5"
2040,"1,02500","1,02090","18 557,02","9,76%","9,76%","2,92%","4,38%","7,30%","103,91%","104,01%","250,00%","3 154,78","292,3"
2041,"1,02500","1,02030","19 407,07","9,76%","9,76%","2,92%","4,38%","7,30%","103,88%","103,84%","250,00%","3 256,30","294,0"
2042,"1,02500","1,01980","20 286,11","9,76%","9,76%","2,92%","4,38%","7,30%","103,61%","103,66%","250,00%","3 360,70","295,8"
2043,"1,02500","1,01980","21 204,97","9,76%","9,76%","2,92%","4,38%","7,30%","103,30%","103,48%","250,00%","3 468,11","297,5"
2044,"1,02500","1,01950","22 158,93","9,76%","9,76%","2,92%","4,38%","7,30%","103,22%","103,33%","250,00%","3 578,95","299,3"
2045,"1,02500","1,01930","23 151,26","9,76%","9,76%","2,92%","4,38%","7,30%","103,27%","103,24%","250,00%","3 693,12","301,0"
2046,"1,02500","1,01910","24 183,29","9,76%","9,76%","2,92%","4,38%","7,30%","103,25%","103,16%","250,00%","3 810,78","302,7"
2047,"1,02500","1,01880","25 253,88","9,76%","9,76%","2,92%","4,38%","7,30%","103,25%","103,14%","250,00%","3 932,04","304,4"
2048,"1,02500","1,01860","26 366,69","9,76%","9,76%","2,92%","4,38%","7,30%","103,34%","103,16%","250,00%","4 056,92","306,1"
2049,"1,02500","1,01840","27 523,13","9,76%","9,76%","2,92%","4,38%","7,30%","103,31%","103,16%","250,00%","4 185,61","307,8"
2050,"1,02500","1,01820","28 724,65","9,76%","9,76%","2,92%","4,38%","7,30%","103,25%","103,14%","250,00%","4 318,21","309,5"
